source,target,weight
600395.XSHG,600770.XSHG,1
600395.XSHG,600875.XSHG,1
600395.XSHG,601088.XSHG,1
600395.XSHG,601099.XSHG,1
600395.XSHG,601118.XSHG,1
600395.XSHG,601166.XSHG,1
600395.XSHG,601169.XSHG,1
600395.XSHG,601288.XSHG,1
600395.XSHG,601328.XSHG,1
600395.XSHG,601377.XSHG,1
600395.XSHG,601398.XSHG,1
600395.XSHG,601600.XSHG,1
600395.XSHG,601628.XSHG,1
600395.XSHG,601717.XSHG,1
600395.XSHG,601939.XSHG,1
600395.XSHG,601958.XSHG,1
600395.XSHG,601988.XSHG,1
600418.XSHG,600498.XSHG,1
600418.XSHG,601118.XSHG,1
600418.XSHG,601717.XSHG,1
600489.XSHG,600547.XSHG,1
600489.XSHG,601600.XSHG,1
600489.XSHG,601899.XSHG,1
600498.XSHG,600546.XSHG,1
600498.XSHG,600588.XSHG,1
600498.XSHG,600684.XSHG,1
600498.XSHG,600702.XSHG,1
600498.XSHG,600770.XSHG,1
600498.XSHG,600804.XSHG,1
600498.XSHG,600875.XSHG,1
600498.XSHG,601006.XSHG,1
600498.XSHG,601088.XSHG,1
600498.XSHG,601099.XSHG,1
600498.XSHG,601169.XSHG,1
600498.XSHG,601328.XSHG,1
600498.XSHG,601398.XSHG,1
600498.XSHG,601600.XSHG,1
600498.XSHG,601628.XSHG,1
600498.XSHG,601717.XSHG,1
600498.XSHG,601901.XSHG,1
600498.XSHG,601928.XSHG,1
600498.XSHG,601939.XSHG,1
600498.XSHG,601958.XSHG,1
600498.XSHG,603993.XSHG,1
600503.XSHG,600516.XSHG,1
600503.XSHG,600549.XSHG,1
600503.XSHG,600684.XSHG,1
600503.XSHG,601006.XSHG,1
600503.XSHG,601216.XSHG,1
600503.XSHG,601398.XSHG,1
600503.XSHG,601958.XSHG,1
600546.XSHG,600588.XSHG,1
600546.XSHG,600684.XSHG,1
600546.XSHG,600702.XSHG,1
600546.XSHG,600770.XSHG,1
600546.XSHG,600804.XSHG,1
600546.XSHG,600809.XSHG,1
600546.XSHG,600823.XSHG,1
600546.XSHG,601099.XSHG,1
600546.XSHG,601398.XSHG,1
600546.XSHG,601600.XSHG,1
600546.XSHG,601699.XSHG,1
600546.XSHG,601717.XSHG,1
600546.XSHG,601901.XSHG,1
600546.XSHG,601958.XSHG,1
600588.XSHG,600702.XSHG,1
600588.XSHG,600770.XSHG,1
